timestep,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
34,KeepLane,ok,0,,init,1.0,1.0,1.0
35,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
36,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
37,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
38,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
39,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
40,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
41,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
42,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
43,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
44,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
45,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
46,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
47,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
48,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
49,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
50,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
51,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
52,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
53,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
54,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
55,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
56,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
57,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
58,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
59,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
60,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
61,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
62,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
63,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
64,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
65,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
66,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
67,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
68,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
69,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
70,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
71,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
72,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
73,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
74,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
75,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
76,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
77,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
78,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
79,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
80,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
81,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
82,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
83,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
84,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
85,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
86,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
87,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
88,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
89,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
90,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
91,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
92,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
93,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
94,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
95,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
96,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
97,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
98,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
99,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
100,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
101,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
102,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
103,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
104,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
105,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
106,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
107,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
108,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
109,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
110,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
111,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
112,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
113,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
114,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
115,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
116,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
117,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
118,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
119,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
120,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
121,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
122,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
123,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
124,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
125,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
126,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
127,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
128,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
129,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
130,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
131,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
132,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
133,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
134,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
135,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
136,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
137,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
138,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
139,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
140,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
141,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
142,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
143,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
144,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
145,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
146,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
147,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
148,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
149,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
150,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
151,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
152,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
153,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
154,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
155,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
156,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
157,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
158,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
159,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
160,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
161,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
162,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
163,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
164,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
165,ChangeLaneRight,ok,0,,heuristic default,1.0,1.0,1.0
166,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
167,KeepLane,ok,1,49.78,heuristic default,1.0,1.0,1.0
168,KeepLane,ok,1,48.55,heuristic default,1.0,1.0,1.0
169,KeepLane,ok,1,47.33,heuristic default,1.0,1.0,1.0
170,KeepLane,ok,1,46.12,heuristic default,1.0,1.0,1.0
171,KeepLane,ok,1,44.91,heuristic default,1.0,1.0,1.0
172,KeepLane,ok,1,43.7,heuristic default,1.0,1.0,1.0
173,KeepLane,ok,1,42.49,heuristic default,1.0,1.0,1.0
174,KeepLane,ok,1,41.28,heuristic default,1.0,1.0,1.0
175,KeepLane,ok,1,40.08,heuristic default,1.0,1.0,1.0
176,KeepLane,ok,1,38.88,heuristic default,1.0,1.0,1.0
177,KeepLane,ok,1,37.68,heuristic default,1.0,1.0,1.0
178,ChangeLaneRight,ok,1,36.49,heuristic default,1.0,1.0,1.0
179,ChangeLaneRight,ok,1,35.31,heuristic default,1.0,1.0,1.0
180,ChangeLaneRight,ok,1,34.17,heuristic default,1.0,1.0,1.0
181,ChangeLaneRight,ok,1,33.06,heuristic default,1.0,1.0,1.0
182,ChangeLaneRight,ok,1,29.95,heuristic default,1.0,1.0,1.0
183,ChangeLaneRight,ok,1,31.33,heuristic default,1.0,1.0,1.0
184,KeepLane,ok,1,30.32,heuristic default,1.0,1.0,1.0
185,KeepLane,ok,1,29.35,heuristic default,1.0,1.0,1.0
186,KeepLane,ok,1,28.4,heuristic default,1.0,1.0,1.0
187,KeepLane,ok,1,27.45,heuristic default,1.0,1.0,1.0
188,KeepLane,ok,1,26.51,heuristic default,1.0,1.0,1.0
189,KeepLane,ok,1,25.57,heuristic default,1.0,1.0,1.0
190,Brake,fallback,1,24.64,heuristic default,1.0,1.0,1.0
191,Brake,fallback,1,23.72,heuristic default,1.0,1.0,1.0
192,Brake,fallback,1,22.83,heuristic default,1.0,1.0,1.0
193,Brake,fallback,1,21.96,heuristic default,1.0,1.0,1.0
194,Brake,fallback,1,21.12,heuristic default,1.0,1.0,1.0
195,Brake,fallback,1,20.3,heuristic default,1.0,1.0,1.0
196,Brake,fallback,1,19.51,heuristic default,1.0,1.0,1.0
197,Brake,fallback,1,18.75,heuristic default,1.0,1.0,1.0
198,Brake,fallback,1,18.01,heuristic default,1.0,1.0,1.0
199,Brake,fallback,1,17.29,heuristic default,1.0,1.0,1.0
200,Brake,fallback,1,16.6,heuristic default,1.0,1.0,1.0
201,Brake,fallback,1,15.94,heuristic default,1.0,1.0,1.0
202,Brake,fallback,1,15.29,heuristic default,1.0,1.0,1.0
203,Brake,fallback,1,14.68,heuristic default,1.0,1.0,1.0
204,Brake,fallback,1,14.09,heuristic default,1.0,1.0,1.0
205,Brake,fallback,1,13.52,heuristic default,1.0,1.0,1.0
206,Brake,fallback,1,12.98,heuristic default,1.0,1.0,1.0
207,Brake,fallback,1,12.47,heuristic default,1.0,1.0,1.0
208,Brake,fallback,1,11.98,heuristic default,1.0,1.0,1.0
209,Brake,fallback,1,11.51,heuristic default,1.0,1.0,1.0
210,Brake,fallback,1,11.07,heuristic default,1.0,1.0,1.0
211,Brake,fallback,1,10.66,heuristic default,1.0,1.0,1.0
212,Brake,fallback,1,10.27,heuristic default,1.0,1.0,1.0
213,Brake,fallback,1,9.91,heuristic default,1.0,1.0,1.0
214,Brake,fallback,1,9.57,heuristic default,1.0,1.0,1.0
215,Brake,fallback,1,9.26,heuristic default,1.0,1.0,1.0
216,Brake,fallback,1,8.97,heuristic default,1.0,1.0,1.0
217,Brake,fallback,1,8.71,heuristic default,1.0,1.0,1.0
